Date,Open,High,Low,Close,Adj Close,Volume
25-07-2022,920.25,932,914,930.650024,921.428345,2120224
26-07-2022,928.5,929.650024,911.099976,913.5,904.448242,2780103
27-07-2022,912.099976,929.349976,911.099976,928.450012,919.250122,1742497
28-07-2022,935.900024,949,932.700012,946.099976,936.72522,2843497
29-07-2022,957,965.700012,947.150024,948.400024,939.002441,3617725
01-08-2022,954,956.5,945.200012,952.150024,942.715332,2489519
02-08-2022,952.150024,953.849976,941.049988,951.049988,941.62616,2545241
03-08-2022,951,961.799988,950.049988,957.200012,947.715271,4119614
04-08-2022,965,969.950012,945.799988,958.099976,948.606323,3513266
05-08-2022,962.900024,964.950012,955,957.75,948.259766,2565683
08-08-2022,957.75,968,950.049988,966.049988,956.477539,1746911
10-08-2022,966.049988,967,948.099976,952.049988,942.616272,3271939
11-08-2022,965,968.5,958.75,962.349976,952.814209,3594584
12-08-2022,964,964,954,956.400024,946.923218,3022304
16-08-2022,969,969,952.650024,958.200012,948.705322,2784861
17-08-2022,963,982.900024,955,980.599976,970.883362,4649125
18-08-2022,983.450012,983.450012,968.099976,973.5,963.85376,2829269
19-08-2022,974.5,987.049988,966.799988,970.049988,960.437927,2880969
22-08-2022,965,970,955.200012,959.450012,949.942932,3616799
23-08-2022,949.950012,951,939,946.900024,937.517334,3753715
24-08-2022,949.900024,953.799988,944.150024,949.150024,939.745056,1494361
25-08-2022,953.900024,953.900024,942.650024,943.799988,934.447998,3316314
26-08-2022,948.549988,956,943.75,945.650024,936.279724,2195046
29-08-2022,912.599976,922,900.099976,917.5,908.40863,4974880
30-08-2022,926.900024,945.25,923.700012,938.950012,929.646118,2998417
01-09-2022,917.299988,931,916.25,926.049988,916.873901,2953921
02-09-2022,931.200012,937,919,924.450012,915.289795,1750283
05-09-2022,926,942.299988,922.5,936,926.725342,2279812
06-09-2022,936,942.900024,927.049988,937.799988,928.507446,2108615
07-09-2022,927,932.549988,923.099976,931.700012,922.467957,2709547
08-09-2022,936.400024,940.900024,928,931.049988,921.824341,3214686
09-09-2022,939,953,934.299988,948.5,939.10144,2206526
12-09-2022,955.150024,963.5,953.5,955.549988,946.081604,2517615
13-09-2022,955,959.799988,950.450012,955.400024,945.933105,2442828
14-09-2022,933.299988,938.450012,926.549988,932,922.764954,6761712
15-09-2022,936.5,936.700012,916.299988,919.900024,910.784851,2995215
16-09-2022,915.099976,918,893.400024,896.900024,888.012756,5095937
19-09-2022,897.950012,907.150024,887.5,897.799988,888.903809,2686561
20-09-2022,902.299988,920.849976,902,914,904.943298,1836721
21-09-2022,909,913.75,898.849976,900.950012,892.022644,1819649
22-09-2022,897.599976,904.900024,889.75,897.650024,888.75531,2315711
23-09-2022,896.5,912.599976,892,895.849976,886.973145,2569608
